file01	Задание 01	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/1.png	⬅️😐	Без эмоций*Камера справа в в профиль
file02	Задание 02	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/2.png	↙️😐	Без эмоций*Камера справа в под углом 45
file03	Задание 03	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/3.png	😐	Без эмоций*Спереди
file04	Задание 04	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/4.png	😐↘️	Без эмоций*Камера слева под углом 45
file05	Задание 05	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/5.png	😐▶️	Без эмоций*Камера слева в профиль
file06	Задание 06	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/6.png	⬅️😀	Улыбка (с зубами или без)*Камера справа в профиль
file07	Задание 07	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/7.png	↙️😀	Улыбка (с зубами или без)*Камера справа под углом 45
file08	Задание 08	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/8.png	😀	Улыбка (с зубами или без)*Спереди
file09	Задание 09	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/9.png	😀↘️	Улыбка (с зубами или без)*Камера слева под углом 45
file10	Задание 10	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/10.png	😀▶️	Улыбка (с зубами или без)*Камера слева в профиль
file11	Задание 11	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/11.png	⬅️😬	Показать все зубы*Камера справа в профиль
file12	Задание 12	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/12.png	↙️😬	Показать все зубы*Камера справа под углом 45
file13	Задание 13	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/13.png	😬	Показать все зубы*Спереди
file14	Задание 14	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/14.png	😬↘️	Показать все зубы*Камера слева под углом 45
file15	Задание 15	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/15.png	😬▶️	Показать все зубы*Камера слева в профиль
