file01	Tugas 01	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/1.png	⬅️😐	Tanpa emosi *Kamera di sebelah kanan di profil
file02	Tugas 02	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/2.png	↙️😐	Tanpa emosi *Kamera di sebelah kanan pada sudut 45
file03	Tugas 03	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/3.png	😐	Tanpa emosi*Depan
file04	Tugas 04	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/4.png	😐↘️	Tanpa emosi *Kamera di sebelah kiri dengan sudut 45
file05	Tugas 05	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/5.png	😐▶️	Tanpa emosi *Kamera tertinggal di profil
file06	Tugas 06	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/6.png	⬅️😀	Senyum (dengan atau tanpa gigi) *Kamera di sebelah kanan dalam profil
file07	Tugas 07	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/7.png	↙️😀	Senyum (dengan atau tanpa gigi) *Kamera di sebelah kanan dengan sudut 45
file08	Tugas 08	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/8.png	😀	Senyum (dengan atau tanpa gigi)*Depan
file09	Tugas 09	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/9.png	😀↘️	Senyum (dengan atau tanpa gigi) *Kamera di sebelah kiri dengan sudut 45
file10	Tugas 10	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/10.png	😀▶️	Senyum (dengan atau tanpa gigi) *Kamera tertinggal di profil
file11	Tugas 11	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/11.png	⬅️😬	Tampilkan semua gigi*Kamera di sebelah kanan dalam profil
file12	Tugas 12	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/12.png	↙️😬	Tunjukkan semua gigi*Kamera di sebelah kanan pada sudut 45
file13	Tugas 13	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/13.png	😬	Tunjukkan semua gigi*Depan
file14	Tugas 14	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/14.png	😬↘️	Tunjukkan semua gigi*Kamera di sebelah kiri dengan sudut 45
file15	Tugas 15	https://trainingdata-data-collection.s3.amazonaws.com/dima/Innodata/exmpl/15.png	😬▶️	Tampilkan semua gigi*Kamera tersisa di profil
