file01	Задание 01	https://youtu.be/-AVIMxvdOSo	Drink	(Для записи видео потребуется бутылка воды) Снимите как вы пьете воду из бутылки. Откройте бутылку, попейте немного напитка, проглотите, закройте бутылку.
file02	Задание 02	https://youtu.be/gWTBguVs35c	Eat-food	(Требуется что-то из еды, по типу снэка без упаковки) Снимите как вы едите что-то, например, любой снэк, после проглотите.
file03	Задание 03	https://youtu.be/UBeD6Zf7Yrs	Play-phone	(Для записи видео потребуется второй телефон) Снимите как вы печатаете на телефоне, ваши руки и телефон обязательно должны быть видны в кадре, затем отложите телефон и завершите видео. Ваш взгляд должен быть направлен только в экран телефона в ваших руках, когда вы печатаете на нем (как в примере). 
file04	Задание 04	https://youtu.be/AhbMaR2CaJQ	Turn-pen	(Для записи видео потребуется письменная ручка) Снимите как вы крутите ручку в ЛЕВОЙ руке, как это показано в примере.
file05	Задание 05	https://youtu.be/iA-fjSvZkQ0	Body-forth-back	Снимите как вы наклоняете тело вперед-назад-вперед-назад, как это показано в примере (сначала наклон вперед, затем возврат в обычное положение, и затем отклон назад). Наклонять нужно именно тело с головой, не отдельно голову.
file06	Задание 06	https://youtu.be/_2D-AbjETF0	Body-left-right	Снимите как вы наклоняете тело вместе с головой сначала в ЛЕВУЮ сторону, затем в ПРАВУЮ, как это сделано в примере. Наклонять нужно именно тело с головой, не отдельно голову. Голова не должна выходить из кадра при поворотах.
file07	Задание 07	https://youtu.be/HIyMvhPLFxw	Body-rotate	Снимите как вы поворачиваете тело вместе с головой сначала в ЛЕВУЮ сторону, после в ПРАВУЮ (голова смотрит прямо, как в примере). Поворачивать нужно тело ВМЕСТЕ с головой, не отдельно голову или тело.
file08	Задание 08	https://youtu.be/X54CUkhwnqU	Fold-arm	Снимите как вы складываете руки на груди, а после верните их в обычное положение.
file09	Задание 09	https://youtu.be/Z87Nt2MoUX4	Shrug-shoulder	Снимите как вы пожимаете плечами вверх-вниз, как будто говорите “не знаю”, как показано в примере.
file10	Задание 10	https://youtu.be/_p37NKaTl5U	Stretch-arm	Снимите как вы тянитесь, нужно поднять руки и завести их за спину, затем выпрямить при потягивании, чтобы это выглядело по-настоящему, как в примере.
file11	Задание 11	https://youtu.be/FBMFRDzak1Q	Up-down	Снимите как вы встаете и садитесь (не поправляйте одежду, когда встаете, не делайте лишних движений).
file12	Задание 12	https://youtu.be/fiDdwVI5jHM	Amazed	(В этом видео важна эмоция) Снимите удивление (откройте рот, поднимите брови). Эмоция максиально должна быть похожа на ту, что показана в примере, без импровизации.
file13	Задание 13	https://youtu.be/ikF_Wp7UjRk	Anger	(В этом видео важна эмоция) Снимите эмоцию злости точно по примеру.
file14	Задание 14	https://youtu.be/-_NDb5OcY2g	Disgusted	(В этом видео важна эмоция) Снимите эмоцию отвращения точно по примеру.
file15	Задание 15	https://youtu.be/aPaiOgB-klU	Happy	(В этом видео важна эмоция) Снимите эмоцию радости (вам нужно рассмеяться, широко улыбнувшись и показав зубы) точно по примеру.
file16	Задание 16	https://youtu.be/ZFQt5j8pdRI	Normal	(В этом видео важна эмоция) Снимите ваше обычное лицо идентично примеру.
file17	Задание 17	https://youtu.be/18vLchdqA7c	Sad	(В этом видео важна эмоция) Снимите эмоцию грусти (будто вы всхлипываете, вот-вот начнете плакать). Эмоция максиально должна быть похожа на ту, что показана в примере, без импровизации.
file18	Задание 18	https://youtu.be/h8Z5ncLbqic	Scared	(В этом видео важна эмоция) Снимите испуг с отвращением. Эмоция максиально должна быть похожа на ту, что показана в примере, без импровизации.
file19	Задание 19	https://youtu.be/C6T6ogb77gA	Deep-breath	Снимите ваш глубокий вдох. При этом нужно надуть щеки и полностью выдохнуть.
file20	Задание 20	https://youtu.be/jMYzOtaRWzU	Eye-closed	Снимите как вы зажмуриваетесь, а потом откройте глаза.
file21	Задание 21	https://youtu.be/j_2vpBfSEcQ	Eye-roll	Повторите движение глаз в этом видео. Вам нужно сначала закатить глаза вверх, затем медленно переместить их ВПРАВО и после вернуть в обычное положение.
file22	Задание 22	https://youtu.be/ZNvr_L0NHs8	Eye-stare	Поднимите брови и широко откройте глаза, затем вернитесь в обычное положение лица.
file23	Задание 23	https://youtu.be/ibZV3imR2mo	Mouth-open	Откройте широко рот, затем медленно закройте. 
file24	Задание 24	https://youtu.be/7uCCXAV5ce4	Mouth-pout	Сделайте губы трубочкой, затем вернитесь в обычное положение лица.
file25	Задание 25	https://youtu.be/QOl5Z9KIFa4	Mouth-pucker	Втяните губы, как показано на видео, затем вернитесь в обычное положение лица.
file26	Задание 26	https://youtu.be/lghS0ZMQ_Yk	Put-tongue	Откройте широко рот и покажите язык, затем закройте рот.
file27	Задание 27	https://youtu.be/YQt9XbPfMfQ	Touch-chin	Потрогайте только подбородок большим и указательным пальцами левой рукой, как показано в примере. Не задевайте другие участки лица.
file28	Задание 28	https://youtu.be/5NrCD8o-Tnc	Touch-ear	Потрогайте только одно ухо большим и указательным пальцами левой рукой, как показано в примере
file29	Задание 29	https://youtu.be/bcX-3I1Mv1I	Touch-eye	Потрогайте только один левый глаз двумя пальцами левой рукой, как показано в примере. Не задевайте другие участки лица.
file30	Задание 30	https://youtu.be/UDeDO1M10Ic	Touch-face	Потрогайте только левую щеку всеми пальцами левой рукой, как показано в примере. Не задевайте другие участки лица.
file31	Задание 31	https://youtu.be/9CUY5AbKkBE	Touch-forehead	Потрогайте только лоб ладонью, не задевая глаз, как показано в примере. Не задевайте другие участки лица.
file32	Задание 32	https://youtu.be/U9kn_0Ig8yI	Touch-glasses	Поправьте очки левой рукой за дужку (оправу), как показано в примере. На линзах очков не должно быть отражения/бликов.
file33	Задание 33	https://youtu.be/bjfQz42a8Fw	Touch-head	Потрогайте только волосы на голове ладонью руки, как показано в примере.
file34	Задание 34	https://youtu.be/YDyArR8auGU	Touch-mouth	Потрогайте только рот пальцами и ладонью, как показано в примере. Не задевайте другие участки лица.
